==========================
Total: 269 (High:59 Medium:169 Low:41 ?:0), 146/269 Fixed, 1151 installed, 248 updatable, 12 exploits, en: 7, ja: 0 alerts

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
| CVE-2018-11213   |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11213   |
| CVE-2018-11214   |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11214   |
| CVE-2018-14498   |  6.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14498   |
| CVE-2018-18520   |  6.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-18520   |
| CVE-2018-18661   |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-18661   |
| CVE-2018-19432   |  6.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19432   |
| CVE-2018-19661   |  6.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19661   |
| CVE-2018-19758   |  6.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19758   |
| CVE-2018-20846   |  6.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20846   |
| CVE-2018-5741    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5741    |
| CVE-2018-7456    |  6.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7456    |
| CVE-2019-10638   |  6.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10638   |
| CVE-2019-13057   |  6.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13057   |
| CVE-2019-14973   |  6.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-14973   |
| CVE-2019-3459    |  6.5 |  AV:A  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-3459    |
| CVE-2019-3460    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-3460    |
| CVE-2019-3874    |  6.5 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-3874    |
| CVE-2019-7149    |  6.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7149    |
